"Año";"Periodo";"Solicitantes de asilo"
"1993";"Año";"0,74"
"1994";"Año";"0,64"
"1995";"Año";"0,99"
"1996";"Año";"0,98"
"1997";"Año";"1,03"
"1998";"Año";"0,98"
"1999";"Año";"1,03"
"2000";"Año";"0,95"
"2001";"Año";"0,94"
"2002";"Año";"1,09"
"2003";"Año";"1"
"2004";"Año";"0,88"
"2005";"Año";"0,8"
"2006";"Año";"0,74"
"2007";"Año";"0,74"
"2008";"Año";"0,82"
"2009";"Año";"0,99"
"2010";"Año";"0,84"
"2011";"Año";"0,9"
"2012";"Año";"0,94"
"2013";"Año";"1,16"
"2014";"Año";"1,79"
"2015";"Año";"3,22"
"2016";"Año";"2,73"
"2017";"Año";"3,09"
"2018";"Año";"3,5"
"2019";"Año";"4,1"
"2020";"Año";"4,1"
;;
;;
"Métrica":"Solicitantes de asilo"
"Fuente":"ACNUR"
"Clasificación":""
"Unidad":"Solicitantes de asilo"
"Escala":"Millones"
"EscalaFactorPotencia10":"6"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/evolucion-numero-solicitantes-asilo-mundo/eec746fe-b77b-441c-839e-1d315a90cfd0"
"Titulo":"Evolución en el número de solicitantes de asilo en el mundo"
"Subtitulo":""
