"Año";"Periodo";"Parámetro";"Emigración"
"2020";"Semestre 2";"Álava";"3,34"
"2020";"Semestre 2";"Albacete";"1,52"
"2020";"Semestre 2";"Alicante";"6,2"
"2020";"Semestre 2";"Almería";"4,75"
"2020";"Semestre 2";"Ávila";"1,6"
"2020";"Semestre 2";"Badajoz";"0,91"
"2020";"Semestre 2";"Islas Baleares";"3,08"
"2020";"Semestre 2";"Barcelona";"2,36"
"2020";"Semestre 2";"Burgos";"1,7"
"2020";"Semestre 2";"Cáceres";"0,87"
"2020";"Semestre 2";"Cádiz";"0,79"
"2020";"Semestre 2";"Castellón";"4,06"
"2020";"Semestre 2";"Ciudad Real";"1,26"
"2020";"Semestre 2";"Córdoba";"0,54"
"2020";"Semestre 2";"A Coruña";"1,56"
"2020";"Semestre 2";"Cuenca";"1,51"
"2020";"Semestre 2";"Girona";"4,42"
"2020";"Semestre 2";"Granada";"1,35"
"2020";"Semestre 2";"Guadalajara";"2,28"
"2020";"Semestre 2";"Guipúzcoa ";"2,06"
"2020";"Semestre 2";"Huelva";"1,27"
"2020";"Semestre 2";"Huesca";"2,74"
"2020";"Semestre 2";"Jaén";"0,53"
"2020";"Semestre 2";"León";"0,86"
"2020";"Semestre 2";"Lleida";"4,52"
"2020";"Semestre 2";"La Rioja";"2,43"
"2020";"Semestre 2";"Lugo";"0,94"
"2020";"Semestre 2";"Madrid";"3,32"
"2020";"Semestre 2";"Málaga";"2,1"
"2020";"Semestre 2";"Murcia";"3,93"
"2020";"Semestre 2";"Navarra";"3,11"
"2020";"Semestre 2";"Ourense";"1,02"
"2020";"Semestre 2";"Asturias";"0,68"
"2020";"Semestre 2";"Palencia";"1,03"
"2020";"Semestre 2";"Las Palmas";"6,54"
"2020";"Semestre 2";"Pontevedra";"1,05"
"2020";"Semestre 2";"Salamanca";"2,45"
"2020";"Semestre 2";"Santa Cruz de Tenerife";"1,93"
"2020";"Semestre 2";"Cantabria";"1,3"
"2020";"Semestre 2";"Segovia";"2,09"
"2020";"Semestre 2";"Sevilla";"1,45"
"2020";"Semestre 2";"Soria";"2,18"
"2020";"Semestre 2";"Tarragona";"2,69"
"2020";"Semestre 2";"Teruel";"2,12"
"2020";"Semestre 2";"Toledo";"2,11"
"2020";"Semestre 2";"Valencia";"2,1"
"2020";"Semestre 2";"Valladolid";"1,16"
"2020";"Semestre 2";"Vizcaya";"1,98"
"2020";"Semestre 2";"Zamora";"1,44"
"2020";"Semestre 2";"Zaragoza";"1,67"
"2020";"Semestre 2";"Ceuta";"1,86"
"2020";"Semestre 2";"Melilla";"4,7"
;;
;;
"Métrica":"Emigración"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/provincias-mas-emigrantes-espana/517e5e56-a7eb-4977-bd58-3d2a81a06be7"
"Titulo":"Las provincias con más emigrantes de España"
"Subtitulo":"(Número de emigrantes por 1.000 habitantes)"
