"Año";"Periodo";"Parámetro";"Personas residiendo en países distintos al de su origen"
"2019";"Año";"Alemania";"13.132.146"
"2019";"Año";"Arabia Saudí";"13.122.338"
"2019";"Año";"Australia";"7.549.270"
"2019";"Año";"Canadá";"7.960.657"
"2019";"Año";"Emiratos Árabes Unidos";"8.587.256"
"2019";"Año";"España";"6.104.203"
"2019";"Año";"Estados Unidos";"50.661.149"
"2019";"Año";"Francia";"8.334.875"
"2019";"Año";"India";"5.154.737"
"2019";"Año";"Italia";"6.273.722"
"2019";"Año";"Jordania";"3.346.703"
"2019";"Año";"Kazajistán";"3.705.556"
"2019";"Año";"Kuwait";"3.034.845"
"2019";"Año";"Malasia";"3.430.380"
"2019";"Año";"Pakistán";"3.257.978"
"2019";"Año";"Reino Unido";"9.552.110"
"2019";"Año";"Rusia";"11.640.559"
"2019";"Año";"Tailandia";"3.635.085"
"2019";"Año";"Turquía";"5.876.829"
"2019";"Año";"Ucrania";"4.964.293"
;;
;;
"Métrica":"Personas residiendo en países distintos al de su origen"
"Fuente":"ONU"
"Clasificación":""
"Unidad":"Migrantes"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/paises-mundo-mas-poblacion-migrante/03a59ba8-e39e-455c-bf9d-c30d4b44cd64"
"Titulo":"Países del mundo con más población migrante"
"Subtitulo":""
